"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
605,2.983213496,10.0584,
606,8.354633693,10.147808,
607,11.5437075,10.594848,
608,8.58956559,11.220704,
609,5.87741542,11.62304,
610,6.012062047,11.84656,
611,-4.964184086,12.07008,
612,-15,11.667744,
613,-15,10.192512,
614,-15,8.71728,
615,-14.64303237,7.242048,
616,-11.69869284,5.766816,
617,-8.728157169,4.291584,
618,-5.738126685,2.816352,
619,-2.470728253,1.34112,
620,0,0,
621,0,0,
622,0,0,
623,0,0,
624,0,0,
625,0,0,
626,0,0,
627,0,0,
628,0,0,
629,0,0,
630,0,0,
631,0,0,
632,0,0,
633,0,0,
634,0,0,
635,0,0,
636,0,0,
637,0,0,
638,0,0,
639,0,0,
640,0,0,
641,0,0,
642,0,0,
643,0,0,
644,0,0,
645,0,0,
646,1.586225128,0.89408,
647,4.629577117,2.01168,
648,5.970759103,3.486912,
649,7.521759373,4.559808,
650,6.298408932,5.588,
651,6.248392926,6.25856,
652,10.89470258,6.839712,
653,11.98605744,7.8232,
654,9.438552299,8.761984,
655,8.915150973,9.38784,
656,8.807738456,9.924288,
657,9.965355234,10.416032,
658,7.641346398,10.95248,
659,4.203444703,11.310112,
660,5.018004529,11.444224,
661,2.820110319,11.62304,
662,2.835183066,11.667744,
663,2.080098775,11.712448,
664,3.620510191,11.712448,
665,2.880694072,11.801856,
666,2.11693776,11.84656,
667,-1.778186527,11.84656,
668,-1.765847332,11.62304,
669,-12.24708375,11.39952,
670,-13.48430033,10.550144,
671,-15,9.566656,
672,-10.14992306,8.27024,
673,-8.070898368,7.331456,
674,-11.4249016,6.48208,
675,-9.167208866,5.185664,
676,-6.891324408,3.889248,
677,-3.578774834,2.592832,
678,-1.338811637,1.56464,
679,-1.059519671,0.89408,
680,0,0,
681,0,0,
682,0,0,
683,0,0,
684,0,0,
685,0,0,
686,0,0,
687,0,0,
688,0,0,
689,0,0,
690,0,0,
691,0,0,
692,0,0,
693,0,0,
694,0.863332646,0.625856,
695,1.25982911,1.475232,
696,2.974405638,1.966976,
697,5.545121848,2.90576,
698,6.237877158,4.112768,
699,8.009047281,5.051552,
700,5.225743536,6.03504,
701,8.669960635,6.526784,
702,2.535598559,7.331456,
703,0.13247211,7.465568,
704,1.097587016,7.37616,
705,9.343491639,7.37616,
706,6.59432276,8.136128,
707,6.414539919,8.583168,
708,9.691731795,8.985504,
709,7.877537671,9.61136,
710,1.660341097,10.0584,
711,-0.985403702,10.0584,
712,5.51663455,9.879584,
713,5.685371163,10.147808,
714,3.115815921,10.416032,
715,-5.140603086,10.50544,
716,-4.2925847,10.0584,
717,-5.417483064,9.656064,
718,-13.60808403,9.16432,
719,-14.64815095,8.04672,
720,-12.25294494,6.7056,
721,-9.832564848,5.36448,
722,-6.862896533,4.02336,
723,-2.731087461,2.771648,
724,-1.7202104,2.01168,
725,-0.618706893,1.34112,
726,-0.865532714,0.938784,
727,0.029033453,0.22352,
728,0.425895173,0.22352,
729,3.291148202,1.430528,
730,6.309448123,2.90576,
731,8.7690351,4.291584,
732,6.298408932,5.588,
733,9.129315041,6.25856,
734,10.46333885,7.15264,
735,9.692701204,8.04672,
736,12.31947441,8.761984,
737,11.66977188,9.61136,
738,11.23130233,10.326624,
